date,records
2022-05-01,3005115
2022-05-02,3389936
2022-05-03,3918965
2022-05-04,3862563
2022-05-05,4083487
2022-05-06,4113485
2022-05-07,3803701
2022-05-08,3219654
2022-05-09,3789722
2022-05-10,3865375
2022-05-11,3977717
2022-05-12,4016311
2022-05-13,4136604
2022-05-14,3673969
2022-05-15,3161446
2022-05-16,3716697
2022-05-17,3840977
2022-05-18,3929983
2022-05-19,4030423
2022-05-20,2804053
2022-05-21,2453104
2022-05-22,2816907
2022-05-23,3596497
2022-05-24,3704018
2022-05-25,3781474
2022-05-26,3808989
2022-05-27,3839452
2022-05-28,3355965
2022-05-29,2896692
2022-05-30,2787259
2022-05-31,3247315